Submitter	bases	rel_bases
University of California, Berkeley	3.31386109374e+12	0.000274468295489
Zhejiang University	3.28293081145e+12	0.000271906515856
Chinese Academy of Agricultural Sciences	3.2549397334e+12	0.000269588173817
Institute of Vegetables and Flowers, Chinese Acade	3.2197395503e+12	0.000266672742548
University of Sussex	3.19535567776e+12	0.000264653164858
Sichuan Agricultural University	3.16730755995e+12	0.00026233009854
Beijing Institute of Genomics, Chinese Academy of	3.15910828156e+12	0.000261650998874
Rockefeller University	3.15134258649e+12	0.000261007810451
SEOUL NATIONAL UNIVERSITY	3.14728430022e+12	0.000260671685646
Cancer Science Istitute	3.10409155914e+12	0.000257094276187
Academia Sinica	3.09262306285e+12	0.000256144405768
GBRU	3.05154468512e+12	0.000252742117017
NCI-KHAN	3.03058058452e+12	0.000251005779617
Novogene Bioinformatics Technology CO.ltd	3.01855348371e+12	0.000250009643157
UNIVERSITY COLLEGE LONDON	3.01304038476e+12	0.000249553024479
UCI-phs001231	3.00932244416e+12	0.000249245088572
UWGS-JS	2.99051441586e+12	0.000247687326396
Kansas State University	2.94257824275e+12	0.0002437170454
Columbia University	2.93359890861e+12	0.000242973338145
University of Victoria	2.92452217887e+12	0.000242221564166
Lanzhou University	2.90146256493e+12	0.000240311667296
Boston Children's Hospital	2.89062849742e+12	0.000239414343009
Geuvadis	2.84072625702e+12	0.000235281223824
Cold Spring Harbor Laboratory	2.83444564888e+12	0.000234761036718
University of Copenhagen	2.8266173317e+12	0.000234112661662
New York University	2.82593669774e+12	0.000234056288616
RIKEN_CLST_DGT	2.81914222846e+12	0.000233493541311
OSUMC-phs000830	2.80316290476e+12	0.000232170064673
Institute of Marine Research	2.79150245744e+12	0.000231204296038
UPPSALA UNIVERSITET	2.77602089627e+12	0.000229922046244
USDA-FSIS	2.75245658913e+12	0.000227970348502
Oregon State University	2.7278978203e+12	0.000225936285145
Plant Research International	2.715697397e+12	0.000224925793368
NIA-phs000249	2.71472757915e+12	0.000224845468863
Cold Spring Harbor Lab	2.71119143161e+12	0.000224552589843
Battelle Memorial Institute	2.6660574076e+12	0.000220814394943
University of Pennsylvania	2.65998184248e+12	0.000220311190387
NHGRI-phs000999	2.64822655086e+12	0.000219337566338
Vanderbilt University	2.60914738312e+12	0.000216100860799
novogene	2.58633551226e+12	0.00021421148308
MAX PLANCK INSTITUTE FOR  EVOLUTIONARY BIOLOGY	2.57618303916e+12	0.000213370611388
Harvard Medical School	2.57560763858e+12	0.000213322954226
Cleveland Clinic	2.56509533249e+12	0.00021245227961
Stowers Institute for Medical Research	2.54102417588e+12	0.000210458602404
Icahn School of Medicine at Mount Sinai	2.52087547676e+12	0.000208789800078
People’ s Hospital of Tibet Autonomous Region	2.5129758582e+12	0.000208135519533
Monsanto	2.5110782578e+12	0.000207978352068
Duke-phs000645	2.51077811532e+12	0.000207953492971
EMBL	2.50555467098e+12	0.000207520864739
King Abdullah University of Science and Technology	2.50201555815e+12	0.000207227740122
ILLUMINA-phs001224	2.501986223e+12	0.000207225310458
Kunming Institute of Zoology, CAS	2.50112635566e+12	0.00020715409253
Northwest A&F University	2.48204373316e+12	0.000205573587275
tgen-phs000748	2.46448240372e+12	0.000204119082085
Simon Fraser University	2.45721185641e+12	0.00020351690394
The University of Hong Kong	2.45644889453e+12	0.00020345371214
Yunnan University, Kunming, China	2.44623590774e+12	0.000202607828442
University of Alberta	2.4320522435e+12	0.00020143307608
EDLB-CDC	2.43150713139e+12	0.00020138792754
BaseSpace	2.42985606009e+12	0.00020125117868
MPI-EVA	2.42284940307e+12	0.000200670857069
ModMedMicOxford	2.41731920665e+12	0.000200212822304
Samsung Medical Center	2.41216343589e+12	0.000199785799092
NIEHS-phs001182	2.40715707726e+12	0.000199371150836
IRIDIAN GENOMES	2.38349326504e+12	0.000197411211653
British American Tobacco	2.3827968935e+12	0.000197353535153
445 N Fifth St	2.37249498715e+12	0.000196500286753
Memorial Sloan Kettering Cancer Center	2.36667253937e+12	0.000196018046469
Uppsala  University	2.36420599947e+12	0.000195813756976
University of Melbourne	2.35952873183e+12	0.000195426365458
UC-DPGP	2.35670582005e+12	0.000195192559706
GMI, SNU	2.35235067386e+12	0.00019483184768
INRA JOUY-EN-JOSAS	2.33634739337e+12	0.000193506386837
GMISNU	2.33077721101e+12	0.000193045040265
JAX	2.32326967421e+12	0.000192423233626
Nanjing University	2.31815570332e+12	0.000191999672458
FDA	2.31805914293e+12	0.00019199167491
University of Maryland	2.28774469851e+12	0.000189480901629
NIH-phs000720	2.28744295144e+12	0.000189455909633
Bellvitge Biomedical Research Institute	2.28231604999e+12	0.0001890312775
NIBB	2.28202171097e+12	0.000189006899071
International Crops Research Institute for the Sem	2.28160718239e+12	0.000188972566023
phs000846-NHGRI	2.25873843488e+12	0.000187078477534
DNALINK, INC.	2.2478502534e+12	0.000186176671295
University of Cambridge	2.24066615769e+12	0.000185581653445
Albert Einstein College of Medicine	2.23660150217e+12	0.000185245001111
Johns Hopkins University	2.23274450302e+12	0.000184925547774
uw-phs000738	2.23036124441e+12	0.000184728155998
UN-NHPGC	2.21311578845e+12	0.000183299812815
NIRS	2.188139506e+12	0.000181231169176
USDA ARS	2.18593878328e+12	0.00018104889581
Colorado State University	2.16137568607e+12	0.000179014473958
Aarhus University	2.16135799079e+12	0.000179013008359
BETTINA HARR	2.13573602827e+12	0.000176890886707
Huazhong Agriculture University	2.13492770154e+12	0.000176823937594
chori-phs000481	2.13312552687e+12	0.0001766746737
CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF	2.12487033559e+12	0.000175990943087
Kunming Institute of Zoology	2.07227530405e+12	0.000171634795304
UOL_CGR	2.06946803294e+12	0.000171402284979
Realbio	2.05974917219e+12	0.000170597326936
Institute of Cotton Research, Chinese Academy of A	2.05043522074e+12	0.000169825905229
Shanghai Center for Systems Biomedicine, Shanghai 	2.04754760007e+12	0.000169586740007
Virginia Tech	2.03672631881e+12	0.000168690474733
NHGRI-phs000730	2.03072125071e+12	0.000168193109044
PFIZER	2.0250014702e+12	0.000167719372106
Northwestern University	1.9965150651e+12	0.000165360004941
Los Alamos National Laboratory	1.9902454711e+12	0.000164840730074
Department of Economic Development, Jobs, Transpor	1.98646297751e+12	0.000164527447611
NHGRI-phs000909	1.98458423071e+12	0.000164371841683
ncbi	1.98329542509e+12	0.000164265097232
MMRI	1.97631561524e+12	0.000163686999219
Yale School of Medicine	1.95784157549e+12	0.000162156899418
UCD-100K	1.95489964669e+12	0.000161913236162
