date,bases,open_access_bases,bytes,open_access_bytes
"07/08/2011",140236166987949,107313357743194,183066587950505,155771565641379
"07/09/2011",140265297136973,107342487892218,183088925387341,155793903078215
"07/10/2011",140383637205323,107460827960568,183159715086518,155864692777392
"07/11/2011",140445349077549,107522539832794,183205059312832,155910037003706
"07/12/2011",140445532725539,107522723480784,183205480828786,155910458519660
"07/13/2011",140780055703132,107736682868433,183397879256036,156048130841871
"07/14/2011",141452320706610,107749518701095,183692052159144,156064829245131
"07/15/2011",142979027120091,107906844299731,184373683711564,156159891073624
"07/16/2011",142987204211825,107915021391465,184379199014779,156165406376839
"07/17/2011",143021473747139,107949290926779,184403801499834,156190008861894
"07/18/2011",147149611626281,108025357010388,186250186704869,156232803918942
"07/19/2011",147494673133339,108308998038788,186470039465634,156426591872293
"07/20/2011",147645763271204,108460088176653,186568522770938,156525075177597
"07/21/2011",147761885471363,108576210376812,186645749462050,156602301868709
"07/22/2011",147987115365824,108736197425823,186783942290499,156711729981231
"07/24/2011",148442778724311,109191860784310,187056868429209,156984656119941
"07/25/2011",148448600599559,109197682659558,187061375671953,156989163362685
"07/26/2011",148662553088554,109402079208969,187194493343423,157113923087261
"07/27/2011",149582850740786,110203977570587,187784239455720,157623896893495
"07/28/2011",150180101295661,110801228125462,188255397299318,158095054737093
"07/29/2011",150481197159035,111100412222726,188424464065241,158262771621529
"07/31/2011",150481602154280,111100817217971,188425380023126,158263687579414
"08/01/2011",150600533445877,111219748509568,188509839926212,158348147482500
"08/02/2011",150752269849536,111371484913227,188606874210539,158445181766827
"08/03/2011",150774875249836,111394090313527,188628502456009,158466810012297
"08/04/2011",150792762407490,111411977471181,188640922268387,158479229824675
"08/05/2011",150809916911332,111428862800368,188659455921130,158497098368055
"08/06/2011",150810100530873,111429046419909,188659867679401,158497510126326
"08/07/2011",150832327446353,111451273335389,188673361864952,158511004311877
"08/08/2011",150901207227727,111520153116763,188722596312749,158560238759674
"08/09/2011",150972560211562,111589281054765,188773162611477,158605920491362
"08/10/2011",151144785899373,111761478589528,188880017513387,158712712420242
"08/11/2011",151203433226920,111819971663805,188929051566445,158761398091558
"08/12/2011",151394064579475,112010544933236,189044944911740,158877159734079
"08/13/2011",151395412409764,112010544933236,189048074431372,158877159734079
"08/14/2011",151404769714913,112010626440120,189069991990820,158877344499919
"08/15/2011",151504650806714,112031689087729,189116038704124,158896403011199
"08/16/2011",153064537550705,112032999539488,189771186335417,158901430983557
"08/17/2011",153743580637932,112712042626715,190232306363897,159362551012037
"08/18/2011",154621601652545,112754236642244,190617253634648,159390573812317
"08/19/2011",154622458885418,112755093875117,190617852243935,159391172421604
"08/20/2011",154627338741254,112755093875117,190621222410307,159391172421604
"08/22/2011",155771805343100,113877042434427,191382204075218,160135413666832
"08/23/2011",156103937770504,114209174861831,191604590708644,160357800300258
"08/24/2011",156222123394284,114326984332657,191679830869037,160432218716769
"08/25/2011",156374828291195,114479689229568,191780515351237,160532903198969
"08/26/2011",157047073580631,114829984509164,192161631244903,160758699371615
"08/27/2011",157047079470036,114829990398569,192161644648446,160758712775158
"08/28/2011",157069003267902,114851914196435,192178453923073,160775522049785
"08/29/2011",160341348346271,114866470940732,193704924075925,160795338966830
"08/30/2011",160787413997208,115312536591669,194031916411824,161122331302729
